Carimbo de data/hora,Você já comprou algum imóvel em Vitória ou Vila Velha?,Bairro onde comprou o imóvel:,"Qual sua idade? Ex: """"20""""",1)   Qual(is) local(is) ou método(s) você mais utiliza quando vai pesquisar algum imóvel para comprar?,2)   Você considera esses métodos de pesquisa/atendimento eficientes ou acredita que poderiam ser melhores? (Relacionado ao que foi marcado na pergunta anterior),"3)   Se já foi atendido por alguma imobiliária, qual nota você daria para esse atendimento? ","4)   Se já foi atendido por algum corretor independente, qual nota você daria para esse atendimento? (em média, caso tenha sido atendido por mais de um)","5)   Gostaria de ter a possibilidade de escolher, através de uma apresentação e histórico de avaliações de outros consumidores, o corretor imobiliário que vai te auxiliar na busca por algum imóvel? (Como Ifood e Booking, notas, nível de avaliação, comentários)",6)   Qual sua opinião sobre os valores cobrados na corretagem de imóveis? (Atualmente na média de 5% do valor do imóvel),"7)   Usaria uma plataforma (digital) que te desse a possibilidade de escolher o corretor de imóvel mais alinhado ao seu perfil, te auxiliando do início ao final da operação com qualidade e segurança, sem custo adicional e oferecendo desconto na comissão?",e-mail/telefone para contato
2024/09/11 2:59:45 PM GMT-3,"Sim, mais de uma vez.",Mata da Praia,65,d)   Corretor autônomo.,São eficientes e não precisam melhorar.,Nunca fui atendido por imobiliárias.,5 (muito bom),Não gostaria.,a) Acho justo o valor cobrado.,a) Com certeza.,""
2024/09/11 3:02:11 PM GMT-3,"Sim, uma vez.",Santa Lúcia,42,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);d)   Corretor autônomo.","São bons, mas podem melhorar.","",5 (muito bom),"Sim, gostaria.",d) Não tenho uma opinião.,"c) Não, prefiro ir pessoalmente em uma imobiliária ou corretor.",""
2024/09/11 3:04:20 PM GMT-3,Nunca.,"",,"","","","","","","",""
2024/09/11 3:07:00 PM GMT-3,"Sim, uma vez.",Jardim Camburi,37,b)   Imobiliária.,"São bons, mas podem melhorar.",3 (razoável),Nunca fui atendido por corretores independentes.,"Sim, gostaria.",a) Acho justo o valor cobrado.,b) Sim.,""
2024/09/11 3:07:41 PM GMT-3,"Não, mas já acompanhei a compra de algum conhecido.","",,"","","","","","","",""
2024/09/11 3:08:41 PM GMT-3,"Sim, uma vez.",Mata da Praia,62,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);e)   Placas, anúncios, ...;f)   Redes sociais: Instagram, Facebook, ...;g) Dicas de familiares e amigos.","São bons, mas podem melhorar.",4 (bom),4 (bom),"Sim, gostaria.",b) Considero alto.,b) Sim.,""
2024/09/11 3:12:18 PM GMT-3,"Sim, mais de uma vez.",Praia do Canto,54,d)   Corretor autônomo.,São eficientes e não precisam melhorar.,3 (razoável),5 (muito bom),"Sim, gostaria.",b) Considero alto.,a) Com certeza.,""
2024/09/11 3:14:29 PM GMT-3,Nunca.,"",,"","","","","","","",""
2024/09/11 3:14:46 PM GMT-3,"Sim, mais de uma vez.",Jardim Camburi,30,d)   Corretor autônomo.;g) Dicas de familiares e amigos.,"São bons, mas podem melhorar.",Nunca fui atendido por imobiliárias.,5 (muito bom),"Sim, gostaria.",a) Acho justo o valor cobrado.,a) Com certeza.,""
2024/09/11 3:18:12 PM GMT-3,"Sim, mais de uma vez.","",42,"b)   Imobiliária.;e)   Placas, anúncios, ...","São bons, mas podem melhorar.",3 (razoável),Nunca fui atendido por corretores independentes.,"Sim, gostaria.",a) Acho justo o valor cobrado.,b) Sim.,""
